name,TRI,mean_elev,median_elev,min_elev,max_elev,mean_csi,sd_csi,n_habitat,archipelago
Santa Cruz,10.0243467,173.6622068,121,-579,1564,0.173693454,0.010444653,17,galap
Santa Fe,6.421350956,4,4,2,6,0.153483927,NA,5,galap
Santa Fé,28.11331344,107.9841044,112,-28,254,0.181641519,NA,1,galap
Santiago,15.21005891,182.9695419,111,-1493,905,0.175264352,0.013162276,15,galap
Seymour Norte,10.27119411,18.23780488,17,3,37,0.117863677,0.005831038,5,galap
Sin Nombre,39.60461638,26.55555556,29,12,40,0.094136886,NA,1,galap
Sombrero Chino,24.10826105,16.18181818,14,3,35,0.168894395,0.012968649,3,galap
Tintorera (Villamil),5.177923557,2.578947368,2.5,-8,5,0.135685384,NA,4,galap
Tortuga,76.60837382,55.61538462,57.5,-1,101,0.104198247,0.023199143,4,galap
Tortuga Oeste,53.50659498,7,6,4,11,0.120602518,NA,1,galap
Union,19.96190524,-80.375,-81,-90,-73,0.131257504,NA,1,galap
Venecia,6.037367754,6.36,6,3,9,0.150340855,NA,4,galap
Villamil Sureste,13.6954003,-7.21875,-2,-23,3,0.135957509,NA,1,galap
Viuda,4.472136021,-38,-38,-38,-38,0.130909517,NA,1,galap
Watson,12.93893385,-123.5,-123.5,-127,-120,0.10321857,NA,1,galap
Wolf,97.52925398,85.12206573,86,-381,242,0.177495554,0.00672335,1,galap
Xarifa,5.913662672,4.5,4.5,4,5,0.148265928,NA,1,galap
Hawaii,19.00579943,1190.153227,1007,-116,4195,0.16350237,0.050760293,29,hawaii
kahoolawe,71.21014881,16.21428571,18,-2,30,NA,NA,1,hawaii
kahoolawe.1,24.41252796,187.7123653,186,0,449,0.097889341,0.009416946,11,hawaii
Kauai,54.56160039,389.2935987,258,-8,1585,0.126793626,0.01308001,26,hawaii
Lanai,30.65639295,314.3859208,330,-21,1021,0.098972432,0.001151731,14,hawaii
Maui,44.11024928,670.9571926,457,-126,3046,0.121099691,0.013620971,27,hawaii
Molokai,45.93265115,319.0987854,208,-15,1495,0.10379961,0.007680436,22,hawaii
Niihau,76.1884284,70.1255814,61,0,188,0.129245222,NA,4,hawaii
Niihau.1,19.9429261,75.52003671,24,-56,380,0.102583269,0.008765895,15,hawaii
Oahu,43.14599928,216.7870892,182,-11,1218,0.102769313,0.008221732,21,hawaii
Oahu.1,2.889352657,3.378151261,4,0,8,0.085529402,0.00103991,8,hawaii
Oahu.2,8.131926919,5.88125,7,0,13,0.084757626,NA,4,hawaii
Oahu.3,3.157546973,0.729113924,0,-1,13,0.09263318,0.016959818,6,hawaii
A Quatre,60.81551309,43.984375,38,-6,127,0.174239021,0.005804098,5,carib
Acklins,3.995898072,5.060961299,4,-108,98,0.143868436,0.007176307,18,carib
Acklins.1,4.407565652,5.008270677,4,-2,16,0.141802549,NA,9,carib
Allan Cay,4.610583348,3.025114155,3,-1,9,0.17668771,0.00016824,9,carib
Allen Cay,6.536510737,3.296577947,2,-13,16,0.137208752,0.007027829,7,carib
Ambergris Cay,3.439966946,3.586538462,3,-1,9,0.144266531,0.013770693,9,carib
Andros,3.71429312,3.793021556,4,-63,38,0.141461009,0.01142891,11,carib
