"scientificName","acceptedScientificName","decimalLatitude","decimalLongitude","basisOfRecord","occurrenceStatus","genericName","specificEpithet","datasetKey","Species","featurecla","name","areas"
"Neolamprologus mondabu (Boulenger, 1906)","Neolamprologus mondabu (Boulenger, 1906)",-5.65,29.41667,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","mondabu","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus mondabu","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus tetracanthus (Boulenger, 1899)","Neolamprologus tetracanthus (Boulenger, 1899)",-5.65,29.41667,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","tetracanthus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus tetracanthus","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus modestus (Boulenger, 1898)","Neolamprologus modestus (Boulenger, 1898)",-5.11667,29.2,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","modestus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus modestus","Lake","Lake Tanganyika",32896759543.8782
"Lamprologus modestus Boulenger, 1898","Neolamprologus modestus (Boulenger, 1898)",-5.54863,29.34588,"PRESERVED_SPECIMEN","PRESENT","Lamprologus","modestus","4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","Lamprologus modestus","Lake","Lake Tanganyika",32896759543.8782
"Lamprologus toae Poll, 1949","Neolamprologus toae (Poll, 1949)",-5.53333,29.36667,"PRESERVED_SPECIMEN","PRESENT","Lamprologus","toae","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Lamprologus toae","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus modestus (Boulenger, 1898)","Neolamprologus modestus (Boulenger, 1898)",-5.53333,29.36667,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","modestus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus modestus","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus tretocephalus (Boulenger, 1899)","Neolamprologus tretocephalus (Boulenger, 1899)",-5.65,29.41667,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","tretocephalus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus tretocephalus","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus mondabu (Boulenger, 1906)","Neolamprologus mondabu (Boulenger, 1906)",-5.53333,29.36667,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","mondabu","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus mondabu","Lake","Lake Tanganyika",32896759543.8782
"Lamprologus wauthioni Poll, 1949","Neolamprologus wauthioni (Poll, 1949)",-6.03333,29.2,"PRESERVED_SPECIMEN","PRESENT","Lamprologus","wauthioni","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Lamprologus wauthioni","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus tetracanthus (Boulenger, 1899)","Neolamprologus tetracanthus (Boulenger, 1899)",-7.13333,30.51667,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","tetracanthus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus tetracanthus","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus mondabu (Boulenger, 1906)","Neolamprologus mondabu (Boulenger, 1906)",-5.95,29.2,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","mondabu","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus mondabu","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus brevis (Boulenger, 1899)","Neolamprologus brevis (Boulenger, 1899)",-6.5,29.91667,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","brevis","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus brevis","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus brevis (Boulenger, 1899)","Neolamprologus brevis (Boulenger, 1899)",-6.5,29.91667,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","brevis","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus brevis","Lake","Lake Tanganyika",32896759543.8782
