Species,Native,areas,Log areas
Anolis darlingtoni,Haiti,83104562500,25.14336544
Anolis chlorocyanus,Haiti,83104562500,25.14336544
Anolis olssoni,Haiti,83104562500,25.14336544
Anolis bahorucoensis,Haiti,83104562500,25.14336544
Anolis vinosus,Haiti,83104562500,25.14336544
Anolis dominicensis ,Haiti,83104562500,25.14336544
Anolis websteri,Haiti,83104562500,25.14336544
Anolis cybotes,Haiti,83104562500,25.14336544
Anolis caudalis ,Haiti,83104562500,25.14336544
Anolis saxatilis,Haiti,83104562500,25.14336544
Anolis barahonae,Haiti,83104562500,25.14336544
Anolis christophei,Haiti,83104562500,25.14336544
Anolis armouri,Haiti,83104562500,25.14336544
Anolis brevirostris ,Haiti,83104562500,25.14336544
Anolis koopmani ,Haiti,83104562500,25.14336544
Anolis coelestinus,Haiti,83104562500,25.14336544
Anolis favillarum,Hispaniola,83104562500,25.14336544
Anolis hendersoni,Hispaniola,83104562500,25.14336544
Anolis distichus,Hispaniola,83104562500,25.14336544
Anolis bicaorum,"Honduras, Islas de la Bahia/Utila/Roatan",44988093,17.62190841
Anolis desechensis,Isla de Desecheo,1525503,14.23783475
Anolis opalinus,Jamaica,12225750000,23.22681022
Anolis grahami,Jamaica,12225750000,23.22681022
Anolis reconditus,Jamaica,12225750000,23.22681022
Anolis sagrei,Jamaica,12225750000,23.22681022
Anolis roquet,Martinique,1190000000,20.89721914
Anolis carolinensis,"Mississippi, Horn Island",54875000,17.82056843
Anolis lividus,Montserrat,112375000,18.53735205
Anolis nubilus,Montserrat,112375000,18.53735205
Anolis wattsii,Nevis,103625000,18.45628917
Anolis schwartzi,Nevis,103625000,18.45628917
Anolis ernestwilliamsi,Peter Island,7200000,15.78959158
Anolis poncensis,Puerto Rico,9710687500,22.99649292
Anolis gundlachi,Puerto Rico,9710687500,22.99649292
Anolis evermanni,Puerto Rico,9710687500,22.99649292
Anolis pulchellus,Puerto Rico,9710687500,22.99649292
Anolis occultus,Puerto Rico,9710687500,22.99649292
Anolis krugi,Puerto Rico,9710687500,22.99649292
Anolis cuvieri,Puerto Rico,9710687500,22.99649292
Anolis monensis,"Puerto Rico, Isla de Mona",55814244,17.83753966
Anolis pulchellus,"Puerto Rico, Vieques Island",348094000,19.66798312
Anolis pulchellus,"US Virgin Islands, Saint Croix",187500,12.14153412
Anolis schwartzi,Saint Eustatius,22812500,16.94281919
Anolis pulchellus,"US Virgin Islands, Saint John",51800000,17.76290071
Anolis wattsii,Saint Kitts,173995000,18.97453712
Anolis schwartzi,Saint Kitts,173995000,18.97453712
Anolis luciae,Saint Lucia,643812500,20.28291809
Anolis extremus,Saint Lucia,643812500,20.28291809
Anolis wattsii,Saint Martin,88060000,18.29352896
Anolis pogus,Saint Martin,88060000,18.29352896
Anolis pulchellus,"US Virgin Islands, Saint Thomas",82880000,18.23290434
Anolis aeneus,Saint Vincent,344986000,19.65901439
Anolis griseus  ,Saint Vincent,344986000,19.65901439
Anolis richardii,Saint Vincent,344986000,19.65901439
Anolis gingivinus,Saint Barthelemy,21000000,16.860033
Anolis gingivinus,Saint Martin,88060000,18.29352896
Anolis carolinensis,"Texas, Galveston Island",139312500,18.75223017
Anolis richardii,Tobago,314250000,19.56569941
Anolis pulchellus,"British Virgin Islands, Tortola",309375000,19.55006469
Anolis planiceps,Trinidad,5024062500,22.33750471
Anolis scriptus,"Turks and Caicos, Grand Caicos",144211000,18.78678806
Anolis scriptus,"Turks and Caicos, North Caicos Island",240937500,19.30004812
Anolis scriptus,"Turks and Caicos, Providenciales Island",126000000,18.65179246
Anolis acutus,"US Virgin Islands, Saint Croix",187500,12.14153412
