"SpeciesName","Genus","Species","Longitude","Latitude","First","Second","Third","datasetKey","areas"
"Tropidophis haetianus (Cope, 1879)","Tropidophis","haetianus","-70.697729","19.327773","Dominican Republic",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",83104562500
"Tropidophis haetianus (Cope, 1879)","Tropidophis","haetianus","-70.765307","19.351228","Dominican Republic",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",83104562500
"Tropidophis haetianus (Cope, 1879)","Tropidophis","haetianus","-73.787985","18.217422","Haiti",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",83104562500
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.130525","19.922425","USA","Guantanamo","East","50c9509d-22c7-4a22-a47d-8c48425ef4a7",268312500
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.130525","19.9222","USA","Guantanamo","East","50c9509d-22c7-4a22-a47d-8c48425ef4a7",268312500
"Tropidophis haetianus (Cope, 1879)","Tropidophis","haetianus","-70.865562","19.762398","Dominican Republic",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",83104562500
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-81.019268","22.179844","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-81.153487","23.194212","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis curtus (Garman, 1887)","Tropidophis","curtus","-75.564623","24.492074","Bahamas","Cat Island",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",433687500
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.541043","20.427021","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.700685","19.960853","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.700485","19.961208","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-83.191873","22.706333","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-74.292124","20.279994","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.128447","19.922269","USA","Guantanamo","East","50c9509d-22c7-4a22-a47d-8c48425ef4a7",268312500
"Tropidophis feicki Schwartz, 1957","Tropidophis","feicki","-83.055095","22.679213","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-83.00625","22.791461","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-83.00738","22.792341","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.604582","19.911539","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis feicki Schwartz, 1957","Tropidophis","feicki","-83.691816","22.643345","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
