"island","mean","sd"
"Great Abaco.15",0.184374786913395,0.00941121214837647
"Great Abaco.16",0.151562657207251,0.0558145709891509
"Great Abaco.17",0.111248359084129,NA
"Great Abaco.18",0.144460540264845,0.045770660887641
"Great Abaco.19",0.182961903512478,0.00184073199857691
"Big Cross Cay",0.173641972243786,0.00158323582759961
"Michael's Cay",0.17214931845665,0.00538462413854234
"Big Coppice Mangrove",0.159568364421527,0.0363666800032179
"Big Joe Downer Cay",0.169320181012154,0.00694641176389874
"Scotland Cay",0.145279221236706,0.00725634915113573
"Little Joe Downer Cay",0.17423203587532,NA
"Grand Bahama",0.183321420962994,0.00708076569308855
"August Cay",0.167640209197998,NA
"Man o? War Cay",0.191136822104454,0.00577097234740856
"Water Cay",0.195845718185107,0.00103634358048755
"Grand Bahama.1",0.187535658478737,NA
"Grand Bahama.2",0.187535658478737,NA
"Grand Bahama.3",0.186941087245941,0.000840850701216591
"Grand Bahama.4",0.186706001559893,0.000720632215642635
"Sweetings Cay",0.176786556839943,0.00189986050833978
"Jackson's Cay",0.178325802087784,NA
"Grand Bahama.5",0.19166074693203,0.00521027770661374
"Grand Bahama.6",0.19682252407074,NA
"The Bahamas",0.183725174516439,0.00103784968766595
"Guadeloupe",0.149762074010713,0.00881951584166047
"Marie Galante",0.145832055381366,0.00422734624162262
"Îlet à Fajou",0.144257567822933,0.00118960533593211
"Dominica",0.160306494025623,0.0103322263887038
"Saint Lucia",0.169041819870472,0.00577596040336832
"Hog Cay.1",0.138218730688095,NA
"Rum Cay Island",0.151262238621712,0.00658350668512807
"Crooked",0.141107444961866,0.00229317770274021
"Acklins.1",0.141802549362183,NA
"Barbados",0.165474817156792,0.00209431001034499
"Eleuthera",0.130428548724878,0.00931751842494934
"Current Island",0.125691786408424,NA
"Harbour Island",0.123798735439777,0.00426031935131457
"Russel Island",0.130339064945777,0.00872243027417871
"Cat",0.132290760800242,0.00875609198780273
"St Vincent",0.177086290903389,0.0120701426712311
"Grenada",0.143563139651503,0.00505951677252505
"Tobago",0.157081009103702,0.00234845961382027
"Mayaguana",0.163585502367753,0.00830128577601085
"Grand Turk",0.17800659686327,0.00131246339934137
"Antigua",0.144811836381753,0.00768709780193776
"Long Island",0.136461138725281,5.94692032488715e-05
"New Providence",0.138910755515099,0.00211144943693793
"Paradise Island",0.15608686581254,0.0217789759716629
"St. Croix",0.159452448785305,0.0123598769339039
"Great Exuma",0.135689289867878,0.0088162137504113
"Coakley Cay",0.135671600699425,0.00445513262184405
"Bowe Cay",0.135941177606583,0.00483637194004935
"Little Exuma",0.130229473114014,NA
"Jewfish Cay",0.150523990392685,0.0157868396796043
"Moriah Harbour Cay",0.136234174172084,0.00425033305780044
"Stocking Island",0.135226413607597,0.00479455737177333
"Green Turtle Cay.1",0.132398471236229,NA
"Great Exuma.1",0.132176123559475,0.000314447100027653
"Great Exuma.2",0.158996224403381,NA
"Great Exuma.3",0.138248734176159,0.00943045218472169
"North Caicos",0.176299410787496,0.0163666636940856
"Middle Caicos",0.168610739020201,0.00277986190591763
"Parrot Cay",0.193306788802147,0.0304399712811141
"North Caicos.1",0.166778601706028,0.000690881677502703
"North Caicos.2",0.172431992987792,0.0034997359079875
"Grand Cayman",0.160810107986132,0.00570989434726582
"East Caicos",0.17162404412573,0.00386295344260222
"East Caicos.1",0.195740379393101,0.0278618590944148
"Tortue",0.218253148926629,0.0111705258864361
"Barbuda",0.136884050709861,0.0100978213685008
"Barbuda.1",0.146928939968348,0.0166809637628758
"St Kitts",0.157587202265859,0.00876577119703581
"San Salvador",0.140514963439533,0.00784885167826989
"Viegues",0.150495656899043,0.013468597054553
"Little Inagua",0.176241229687418,0.00500143937503581
"Montserrat",0.15510576069355,0.00648529881000788
"Ronde Island",0.168393321335316,0.0319872347735096
"Petite Martinique",0.148526683449745,NA
"Carriacou Island",0.152968920767307,0.00359058485505221
"Terre-de-Bas",0.1498753875494,NA
"Terre de Bas",0.138159327208996,0.00303471007004203
"La Désirade",0.143871769309044,NA
"Nevis",0.154999700188637,0.00651817492852147
"Sint Eustatius",0.152127981185913,NA
"Saba Island",0.152771487832069,NA
"Île Saint-Barthélemy",0.154042840003967,NA
"Anguilla",0.141536027193069,0.00225974376069994
"Dog Island",0.143318846821785,0.00123195238197343
"Scrub Island",0.144739041725794,0.00280726273086156
"Little Cayman",0.159981429576874,0.00793814818278434
"Cayman Brac Island",0.157625257968903,NA
"Samana Cay",0.171017836779356,0.00815950113996333
"Cayo Blanco",0.138353660702705,0.00110196030879087
"Cayo Galindo",0.132476329803467,NA
"Cayo Cruz del Padre",0.133985862135887,0.00155258453202006
"Hog Cay.2",0.145715415477753,NA
"Cay Sal",0.139804422855377,NA
"Allen Cay",0.137208752334118,0.00702782893850966
"Lee Stocking Island",0.133284216125806,0.000891802359827615
"Norman?s Pond Cay",0.14078463613987,0.0114000060257722
"Bock Cay",0.142765030264854,0.0142771606393683
"Young Island",0.150923192501068,0.00273977696087492
"Conception Island",0.159791853278875,0.0158415893528786
"Darby Island",0.141373172402382,NA
"Rudder Cut Cay",0.134650145967801,0.00584992177226396
"Cave Cay",0.134077347815037,0.00474667290970604
"Big Farmer?s Cay",0.13563168545564,0.00449732731601943
"Green Cay",NA,NA
"Great Guana Cay.1",0.140915803611279,0.00115601429766893
"Bitter Guana Cay",0.134924049178759,0.00798227465838682
"Staniel Cay",0.132872954010963,0.0101001129239992
"Big Major?s Spot",0.132161498069763,0.0111062635650755
"Spanish Wells",0.132042542099953,NA
"Sampson Cay",0.128157109022141,0.0054432022649092
"Pipe Cay",0.127026274800301,0.00153484070879697
"Compass Cay",0.128111571073532,NA
"Bell Island",0.130038097500801,NA
"Halls Pond Cay",0.129237502813339,0.00550003729012614
"Waderick Wells Cay",0.123453525205453,0.00226820646315095
"Hawksbill Cay",0.120408948510885,2.99611409351818e-05
"Shroud Cay",0.124829955399036,0.00628220904150344
"Shroud Cay.1",0.120387762784958,NA
"Little San Salvador",0.135956916958094,0.00680264661622943
"Norman?s Cay Island",0.124846577644348,NA
"Gold Cay",0.137118823826313,0.00733642816330643
"Highbourn Cay",0.135106265544891,0.00520751708803628
"Ship Channel Cay",0.13229950517416,0.00985215247749744
"Bird Cay",0.163320146501064,0.00864810130923822
"Frazer?s Hog Cay",0.148679319024086,0.0213318792955884
"Whale Cay",0.146579657991727,0.0163498530430805
"Bonds Cay",0.131772227585316,0.00327132247758219
"Royal Island",0.135627582669258,0.0111039573323212
"Little Harbour Cay",0.131561197340488,0.00318852499368254
"Hoffman Cay",0.131006973485152,0.009222235276355
"Ambergris Cay",0.144266530871391,0.0137706926094165
"South Bimini Cay",0.156763058900833,0.0144821202441961
"North Bimini",0.150811314582825,NA
"Bamboo Cay",0.163965091109276,NA
"Great Stirrup Cay",0.135064870119095,0.00555560790988775
"Elbow Cay",0.151520481705666,0.0190692660589974
"Upper Sandy Harbour",0.188736349344254,0.000299390138397136
"Big Cross Cay.1",0.174755111336708,0.000503338738341352
"Cross Cays",0.175111025571823,NA
"Little Cave Cay",0.174672499299049,0.000533326221056853
"Allan Cay",0.176687709987164,0.000168239682543361
"Great Sale Cay",0.190043079853058,0.00551201418728215
"Old Yankee Land",0.187104620039463,0.00753365434091316
"Grand Cay",0.195031099021435,0.00822762327506928
"Little Tobago",0.148096948862076,0.0088798562924875
"Union",0.151559263467789,NA
"Mayreau",0.160217389464378,NA
"Canouan",0.157245323061943,NA
"Mustique",0.166610918939114,0.000282626229401928
"Baliceaux",0.165782809257507,0.000351251835489791
"A Quatre",0.17423902079463,0.00580409776674497
"Bequia",0.175590097904205,NA
"Terre de Haut",0.144711691886187,0.00473975938989618
"Caja de Muertos",0.136704877018929,NA
"Mona",0.147178113460541,0.0163787556734209
"Saint Martin/Sint Maarten",0.15034457296133,0.0106157278694413
"Tintamarre",0.141449376940727,0.000456703250464048
"Cayo Luis Pena",0.146071590483189,0.00705410749855621
"de Culebra",0.151273988187313,0.000303193891475244
"Culebrita",0.139387235045433,NA
"Norman",0.150767557322979,0.0070074720106789
"Water",0.143255412578583,0.00287755500865703
"St. Thomas",0.164693970233202,0.00535890595317095
"Cayo Norte",0.145720019936562,0.00532208315302809
"Peter",0.167606011033058,0.0290012415043815
"St. John",0.155621699988842,0.0272352618976033
"Desecheo",0.23640051484108,NA
"Cooper",0.170661464333534,0.0336956340547664
"Great Thatch",0.144412197172642,0.00417642604935364
"Ginger",0.150668635964394,NA
"Hans Lollik",0.145146250724792,0.00106151052659538
"Navassa",0.221327751874924,NA
"Beef",0.152165740728378,NA
"Tortola",0.166638672351837,0.0182421489806246
"Jost Van Dyke",0.155797392129898,0.0139502047460555
"Guana",0.149438008666039,NA
"Great Camanoe",0.148393511772156,0.00533473735026641
"Virgin Gorda",0.157731525599957,0.0194714120068358
"Anegada",0.150579358140628,0.00654391885207101
"Little Ambergris Cay",0.212556779384613,0.0405493043064587
"Big Ambergris Cay",0.201285590728124,0.019402562696917
"Salt Cay",0.21263000741601,0.0324367064895709
"Cotton Cay.1",0.182794347405434,NA
"Turks and Caicos",0.188895930846532,0.0226842001674946
"South Caicos",0.174920529127121,NA
"West Caicos",0.20160469164451,0.026207152454992
"Mangrove Cay.1",0.215319782495499,NA
"Providenciales",0.201123538613319,0.0194491343958847
"Little Water & Pine Cay",0.194633660217126,0.0323942453932472
"Dellis Cay",0.214831098914146,NA
"Plana Cays",0.137294590473175,NA
"Plana Cays.1",0.142918104926745,0.0018499371972577
"Andros.33",0.144306227564812,NA
"Andros.34",0.157920964062214,0.0192541450027621
"Brigantine Cay",0.136978290975094,0.00735375051804441
"Andros.35",0.145702160894871,0.0211015256666917
"Andros.36",0.131619438529015,0.00118554870176294
"Andros.37",0.161301873624325,0.0159371880249548
"Andros.38",0.162507370114326,0.018658683090703
"Andros.39",0.140977397561073,NA
"Andros.40",0.140977397561073,NA
"Andros.41",0.129815210898717,0.000270555597251123
"Andros.42",0.166662484407425,0.00835613955289113
"Little Bells Cay",0.131831536690394,0.00487094451196296
"Rose",0.141000469525655,0.00155414230111485
"Long Cay.2",0.128609552979469,0.00252265747077105
"Joulter Cays",0.127695083618164,0.00223253663434264
"Joulter Cays.1",0.128399848937988,NA
"Lynyard Cay",0.152312509715557,0.00600614718375708
"The Bahamas.1",0.189051933586597,0.000146913377196849
"Big Mangrove Cay",0.177715986967087,0.00519176319081807
"West End Cay",0.174978569149971,0.00113051538631285
"Strangers Cay",0.189337948958079,0.00480986302188406
