island_name,dist_mainland_m
Samana Cay,707041.521
Cayo Blanco,208709.1661
Cayo Galindo,206694.1295
Cayo Cruz del Padre,209197.5639
Hog Cay.2,536551.7525
Cay Sal,165532.7304
Allen Cay,459842.0612
Lee Stocking Island,463160.3913
Norman?s Pond Cay,460361.3578
Bock Cay,456410.6618
Young Island,453367.2214
Conception Island,550769.155
Darby Island,448891.0495
Rudder Cut Cay,445530.7942
Cave Cay,441896.5258
Big Farmer?s Cay,437152.3006
Green Cay,352030.5127
Great Guana Cay.1,420648.2344
Bitter Guana Cay,417588.6243
Staniel Cay,413876.172
Big Major?s Spot,412101.5801
Spanish Wells,271677.6917
Sampson Cay,408335.0134
Pipe Cay,403488.531
Compass Cay,401691.7774
Bell Island,396740.4448
Halls Pond Cay,391424.5877
Waderick Wells Cay,385727.1159
Hawksbill Cay,368428.2351
Shroud Cay,365246.7992
Shroud Cay.1,364409.0808
Little San Salvador,440184.0865
Norman?s Cay Island,358159.9146
Gold Cay,199654.5254
Highbourn Cay,353615.9352
Ship Channel Cay,350317.7831
Bird Cay,235030.5536
Frazer?s Hog Cay,227185.6617
Whale Cay,238043.7029
Bonds Cay,242454.2885
Royal Island,327586.373
Little Harbour Cay,241790.0291
Hoffman Cay,238738.6407
Ambergris Cay,229218.4176
South Bimini Cay,83571.86649
North Bimini,83516.88099
Bamboo Cay,222799.1441
Great Stirrup Cay,219932.5366
Elbow Cay,304118.2488
Upper Sandy Harbour,153078.8499
Big Cross Cay.1,208817.6308
Cross Cays,207604.8041
Little Cave Cay,211927.1385
Allan Cay,234837.0312
Great Sale Cay,181505.9517
Old Yankee Land,202636.0785
Grand Cay,174169.0722
Little Tobago,161982.8721
Union,210314.3363
Mayreau,216325.9366
Canouan,224718.0453
Mustique,247065.9309
Baliceaux,257202.8036
A Quatre,254402.6301
Bequia,258218.5432
Terre de Haut,569212.5396
Caja de Muertos,735926.1441
Mona,691269.7049
Saint Martin/Sint Maarten,807626.6728
Tintamarre,819271.9291
Cayo Luis Pena,844854.2596
de Culebra,846087.6664
Culebrita,852665.8811
Norman,853597.2404
Water,855943.1857
St. Thomas,854815.3819
Cayo Norte,852824.9309
Peter,855650.074
St. John,853234.0015
Desecheo,740630.3687
Cooper,859163.2916
Great Thatch,862610.9291
Ginger,860669.4994
Hans Lollik,864479.623
Navassa,751889.456
Beef,866100.5624
Tortola,862332.561
Jost Van Dyke,868576.1015
Guana,870470.7496
Great Camanoe,869445.3514
Virgin Gorda,865224.9448
Anegada,893366.3856
Little Ambergris Cay,984193.6484
Big Ambergris Cay,983638.1285
Salt Cay,986662.0257
Cotton Cay.1,993163.7882
Turks and Caicos,995475.9821
South Caicos,994762.7372
West Caicos,901169.1366
Mangrove Cay.1,923739.8893
Providenciales,904444.1807
Little Water & Pine Cay,922662.0926
Dellis Cay,926038.5708
Plana Cays,749443.9717
Plana Cays.1,754551.0071
Andros.33,323194.5891
Andros.34,324097.7567
Brigantine Cay,462119.1502
Andros.35,329038.9629
Andros.36,315690.8968
Andros.37,309751.8438
Andros.38,312976.7065
Andros.39,312866.6694
Andros.40,312248.3013
Andros.41,321980.5719
Andros.42,309456.3516
Little Bells Cay,398863.2754
Rose,301201.1376
Long Cay.2,209612.3391
Joulter Cays,208586.7262
Joulter Cays.1,207626.6334
Lynyard Cay,305015.5118
The Bahamas.1,152104.4833
Big Mangrove Cay,211319.2392
West End Cay,208084.8551
Strangers Cay,195996.7309
