"name","area"
"ÃŽle Ã  Vache",45945505.96
"ÃŽle de la GonÃ¢ve",684088048.9
"ÃŽle Grosse Caye",3631933.291
"ÃŽle Saint-BarthÃ©lemy",19096427.68
"Isla Beata",41893217.82
"Isla Catalina",9171455.059
"Isla Saona",109933387.9
"Jamaica",11012634460
"Jost Van Dyke",8367963.058
"Joulter Cays",3438646.86
"Joulter Cays.1",1394710.038
"Juventud",2191953785
"La DÃ©sirade",19052966.25
"Las Picus",2053362.367
"Lee Stocking Island",3911897.48
"Lightbourn?s Cay",18972074.91
"Linder Cay",14514417.27
"Little Ambergris Cay",6127623.491
"Little Cave Cay",1824058.116
"Little Cayman",29647627.05
"Little Exuma",26603325.99
"Little Inagua",132018974.5
"Little Joe Downer Cay",1501011.042
"Little Ragged Island",3061709.891
"Little San Salvador",9897491.845
"Little Water & Pine Cay",8026430.684
"Long",407053142.6
"Long Cay",23136731.35
"Long Cay.1",2398817.296
"Long.1",1564305.139
"Long.2",7967861.631
"Long.3",2545704.161
"Long.4",3998003.646
"Los Conucos",1608304.514
"Lubbers Quarters",1481671.41
"Madiera Cay",2412205.151
"Man o? War Cay",2017020.38
"Margaret Cay",1489991.882
"Marie Galante",160044418.4
"Martinique",1110936544
"Mayaguana",286222863.5
"Maycock Cay",1306014.077
"Mayreau",1775817.521
"Michael's Cay",9851672.05
"Middle Bight Cay",428747079.4
"Middle Caicos",288442698.7
"Mona",55919089.75
"Monos",4414352.503
"Montserrat",102637438.6
"Moore?s Island",16728309.69
"Moriah Harbour Cay",1558715.323
"Mustique",5624081.746
"Navassa",4766907.515
"Nevis",94410672.73
"New Providence",215975030.7
"Norman",2556426.868
"Norman?s Cay Island",3574933.459
"Norman?s Pond Cay",2373329.551
"North Andros",3419382134
"North Bimini",11323709.09
"North Caicos",206722661.8
"North Caicos.1",1325742.638
"North Caicos.2",13867895.11
"Nun Jack Cay",3060942.797
"Nurse Cay",2069370.418
"Old Yankee Land",2010634.88
"Paradise Island",3357839.136
"Parrot Cay",5726874.885
"Peter",4373926.94
"Petite Martinique",2068823.195
"Pine Cay",14608961.93
