"","island_name","dist_mainland_m"
"324","Great Exuma.3",474190.182620835
"325","North Caicos",927409.196150707
"326","Middle Caicos",947610.437571157
"327","Parrot Cay",925878.051246096
"328","North Caicos.1",939477.219428406
"329","North Caicos.2",939978.403115114
"330","Grand Cayman",489297.618171867
"331","East Caicos",974816.621671754
"332","East Caicos.1",992261.568401604
"333","Tortue",847649.667602036
"334","Barbuda",756605.569030488
"335","Barbuda.1",768107.847957419
"336","St Kitts",718710.55463852
"337","San Salvador",596482.986998581
"338","Viegues",811634.954385307
"339","Little Inagua",856577.003952757
"340","Montserrat",660583.293981261
"341","Ronde Island",175497.924107233
"342","Petite Martinique",204038.91613417
"343","Carriacou Island",192919.429924097
"344","Terre-de-Bas",567554.652953531
"345","Terre de Bas",608874.358858624
"346","La Désirade",622814.524929367
"347","Nevis",705534.731152018
"348","Sint Eustatius",747190.459031855
"349","Saba Island",765474.602679418
"350","Île Saint-Barthélemy",792811.92116027
"351","Anguilla",825465.396428411
"352","Dog Island",838420.281776986
"353","Scrub Island",837207.058993378
"354","Little Cayman",600727.446906271
"355","Cayman Brac Island",609050.72750161
"356","Samana Cay",707041.520952252
"357","Cayo Blanco",208709.166100576
"358","Cayo Galindo",206694.129546201
"359","Cayo Cruz del Padre",209197.563870219
"360","Hog Cay.2",536551.752508718
"361","Cay Sal",165532.730382066
"362","Allen Cay",459842.061211716
"363","Lee Stocking Island",463160.391302307
"364","Norman?s Pond Cay",460361.357750327
"365","Bock Cay",456410.661809804
"366","Young Island",453367.221412711
"367","Conception Island",550769.155016109
"368","Darby Island",448891.049475856
"369","Rudder Cut Cay",445530.794196801
"370","Cave Cay",441896.525816756
"371","Big Farmer?s Cay",437152.300617279
"372","Green Cay",352030.512655204
"373","Great Guana Cay.1",420648.234351134
"374","Bitter Guana Cay",417588.624312428
"375","Staniel Cay",413876.172027864
"376","Big Major?s Spot",412101.580068889
"377","Spanish Wells",271677.691745204
"378","Sampson Cay",408335.013371193
"379","Pipe Cay",403488.530992072
"380","Compass Cay",401691.777369978
"381","Bell Island",396740.444803951
"382","Halls Pond Cay",391424.58774042
"383","Waderick Wells Cay",385727.115896816
"384","Hawksbill Cay",368428.235108544
"385","Shroud Cay",365246.799168966
"386","Shroud Cay.1",364409.080839607
"387","Little San Salvador",440184.086541739
"388","Norman?s Cay Island",358159.91455876
"389","Gold Cay",199654.525446746
"390","Highbourn Cay",353615.935213589
"391","Ship Channel Cay",350317.78308822
"392","Bird Cay",235030.553559192
"393","Frazer?s Hog Cay",227185.661655527
"394","Whale Cay",238043.702882694
"395","Bonds Cay",242454.288464365
"396","Royal Island",327586.373007387
"397","Little Harbour Cay",241790.029090533
