name,area
Elbow Cay,4077013.436
Upper Sandy Harbour,1005867.611
Big Cross Cay.1,2657169.726
Cross Cays,1297990.575
Little Cave Cay,1824058.116
Allan Cay,2164222.806
Great Sale Cay,6625151.037
Old Yankee Land,2010634.88
Grand Cay,1978273.968
Little Tobago,1176649.45
Union,8664785.875
Mayreau,1775817.521
Canouan,7652446.683
Mustique,5624081.746
Baliceaux,1309288.555
A Quatre,1436306.586
Bequia,15959124.98
Terre de Haut,4535059.628
Caja de Muertos,1552431.009
Mona,55919089.75
Saint Martin/Sint Maarten,89510269.69
Tintamarre,1251173.71
Cayo Luis Pena,1330382.106
de Culebra,27118805.85
Culebrita,1048792.831
Norman,2556426.868
Water,2064444.24
St. Thomas,72640192.26
Cayo Norte,1238858.408
Peter,4373926.94
St. John,50158375.8
Desecheo,1186876.211
Cooper,1483777.013
Great Thatch,1078500.702
Ginger,1023207.333
Hans Lollik,1964857.33
Navassa,4766907.515
Beef,4070844.874
Tortola,57687324.01
Jost Van Dyke,8367963.058
Guana,2940265.921
Great Camanoe,3324502.677
Virgin Gorda,22183746.12
Anegada,40111776.74
Little Ambergris Cay,6127623.491
Big Ambergris Cay,4697809.864
Salt Cay,6646746.279
Cotton Cay.1,1077680.337
Turks and Caicos,1141456.381
South Caicos,21686493.29
West Caicos,23173375.36
Mangrove Cay.1,1176698.535
Providenciales,107945329.9
Little Water & Pine Cay,8026430.684
Dellis Cay,2005831.744
Plana Cays,8724957.001
Plana Cays.1,7421598.024
Andros.33,2758147.538
Andros.34,1299758.303
Brigantine Cay,1229359.371
Andros.35,1077784.474
Andros.36,44720901.5
Andros.37,1707478.909
Andros.38,2522162.349
Andros.39,3090279.976
Andros.40,1032711.813
Andros.41,1241394.928
Andros.42,1517208.389
Little Bells Cay,1184551.12
Rose,2259704.902
Long Cay.2,1054865.501
Joulter Cays,3438646.86
Joulter Cays.1,1394710.038
Lynyard Cay,1004658.319
The Bahamas.1,1014514.386
Big Mangrove Cay,1112552.996
West End Cay,2919811.942
Strangers Cay,1501198.852
