"","island","mean","sd"
"221","Cayo Puerco",0.137092798948288,NA
"222","Maycock Cay",0.165404811501503,0.00903002551373181
"223","Cayo Los Cayuelos",0.124082267284393,NA
"224","Flamingo Cay",0.133803971111774,0.00347430170001066
"225","UNNAMED",0.130431562662125,0.0020086766531807
"226","UNNAMED",0.141557674322809,0.00533291979952161
"227","Isla Beata",0.149269796907902,0.0153100850659612
"228","Île à Vache",0.197588622570038,0.00791696839399795
"229","Isla Saona",0.133861336112022,0.000532296921158495
"230","Île Grosse Caye",0.195084318518639,NA
"231","Isla Catalina",0.141030609607697,NA
"232","Île Corny",0.165541216731071,NA
"233","Petite Cayemite",0.158201619982719,NA
"234","Grande Cayemite",0.185965582728386,0.00479110622474865
"235","Île de la Gonâve",0.179501355597467,0.0110990063699696
"236","UNNAMED",0.183854155242443,0.00478707066400373
"237","Jamaica",0.191963617192399,0.0168478378995646
"238","Great Goat Island",0.156546987593174,0.00299987569974778
"239","Puerto Rico",0.172764385226129,0.0154331751078464
"240","Pineros",0.158085092902184,0.00662029008137448
"241","Trinidad",0.166803133474397,0.00545520778705724
"242","Gaspar Grande",0.17224109172821,0.000817880668778154
"243","Chacachacare",0.166770957410336,0.000166385221208882
"244","Monos",0.169093996286392,NA
"245","North Andros",0.132199792436191,0.0045777278110043
"246","Yellow Cay",0.142449237406254,0.0100895235283108
"247","High Ridge Cay",0.136136069893837,NA
"248","Middle Bight Cay",0.129163542985916,0.005344385103494
"249","Reids Cay",0.156448468565941,0.00165388448241599
"250","Pine Tree Cay",0.156448468565941,0.00165388448241599
"251","Madiera Cay",0.125947281718254,0.000494656487548108
"252","Pine Cay",0.141638278961182,0.00931401828818543
"253","Pot Cay",0.136188372969627,NA
"254","Big Wood Cay",0.125017589330673,0.00153270137715551
"255","Williams Island",0.136744901537895,NA
"256","Andros",0.141461009159684,0.0114289102589425
"257","Andros",0.142796006053686,0.00815578000005285
"258","Andros",0.132419131696224,0.00865792152494126
"259","Andros",0.155278995633125,NA
"260","Andros",0.124725963920355,0.00161187860310005
"261","Andros",0.138956286013126,0.00494512134591958
"262","Andros",0.126496769487858,0.00158060164956768
"263","Andros",0.135708764195442,NA
"264","Andros",0.140532322227955,0.00434981818412746
"265","Andros",0.139189094305038,0.00496074729000499
"266","Andros",0.129572615027428,NA
"267","Andros",0.135681316256523,NA
"268","Andros",0.136939078569412,NA
"269","Andros",NA,NA
"270","Andros",0.127576440572739,NA
"271","Andros",0.13419334590435,NA
"272","Andros",0.138143271207809,NA
"273","Great Inagua",0.173397846710988,0.00794651515968903
"274","South Andros",0.128073436649222,0.00309006639064452
"275","Linder Cay",0.124988405033946,0.000302981552834927
"276","Andros",0.160753801465034,NA
"277","Andros",0.129340300957362,0.000370983944816924
"278","Andros",0.135594315826893,0.00624156029704584
"279","Andros",0.153453923761845,0.010323586051516
