"SpeciesName","Genus","Species","Longitude","Latitude","datasetKey"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.269348,20.787238,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.398079,20.694174,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.330625,20.705571,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.286978,20.876347,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.228113,20.926294,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.392838,20.904508,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.608,20.9,"b929f23d-290f-4e85-8f17-764c55b3b284"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.59234,20.90596,"9781ce05-2379-4a10-ab3b-c91346510df8"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.59234,20.90596,"8567736a-23db-4ab2-aa13-888d3123be1b"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.62,20.89056,"15f819bd-6612-4447-854b-14d12ee1022d"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.59772,20.90753,"8567736a-23db-4ab2-aa13-888d3123be1b"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.539444,20.893611,"43fb301d-0354-45bc-94d2-dd50f3142a50"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.57423,20.91963,"15f819bd-6612-4447-854b-14d12ee1022d"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.589456,20.893612,"d415c253-4d61-4459-9d25-4015b9084fb0"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.258833,19.461422,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.330903,19.516229,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.323896,19.432016,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.262197,19.41536,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.274559,19.47366,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.320778,19.547225,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.263972,19.54685,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.20204,19.449014,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.361932,19.542702,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.243012,19.407841,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.396698,19.406192,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.554919,19.469952,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.352501,19.523893,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.381815,19.589841,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.269378,19.546195,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.386238,19.497694,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.287456,19.598534,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.24344,19.480401,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.345794,19.518718,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.364499,19.568439,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.364491,19.487108,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.206262,19.598616,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.212173,19.545447,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.231873,19.428244,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.285591,19.507584,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.250237,19.566674,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.282872,19.455338,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.354359,19.561848,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.233704,19.516811,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.487,19.4141,"26098c25-8f7f-4c71-97ac-1d3db181c65e"
"Argyroxiphium kauense (Rock & Neal) O.Deg. & I.Deg.","Argyroxiphium","kauense",-155.49,19.41,"d8cd16ba-bb74-4420-821e-083f2bac17c2"
