"TRI","name"
2.82856694138364,"Top Cay"
2.36871588171982,"Mangrove Cay"
3.46889014816657,"Moore?s Island"
8.42321460279042,"Tilloo Cay"
8.44512951250307,"Lubbers Quarters"
2.45041650944314,"Long Cay.1"
10.0524969081001,"Dilly Cay"
2.67846515826625,"Lightbourn?s Cay"
27.95649877117,"Big Lake Cay"
5.9376608063002,"Great Guana Cay"
6.6363416188763,"Green Turtle Cay"
5.00658995159984,"Basin Harbour Cay"
4.85426803875745,"Nun Jack Cay"
3.79725651666795,"Randalls Cay"
5.46749941149343,"Powell Cay"
38.2040315562546,"Wood Cay"
93.039802659499,"Great Abaco.1"
126.183974321852,"Great Abaco.2"
4.27805240485194,"Great Abaco.3"
105.879546241396,"Great Abaco.4"
73.1192264908794,"Great Abaco.5"
64.0250436335092,"Great Abaco.6"
57.282901280125,"Great Abaco.7"
73.164084383918,"Great Abaco.8"
150.778573135463,"Great Abaco.9"
41.5886660572884,"Great Abaco.10"
14.1790501062233,"Great Abaco.11"
44.9552922090286,"Great Abaco.12"
23.8285447510321,"Great Abaco.13"
6.79147512748324,"Great Abaco.14"
18.6960952665339,"Great Abaco.15"
52.3286819568157,"Great Abaco.16"
7.98565909190056,"Great Abaco.17"
12.6360438358093,"Great Abaco.18"
24.0651015664026,"Great Abaco.19"
14.7407508426242,"Big Cross Cay"
3.12068665765494,"Michael's Cay"
9.0503204714588,"Big Coppice Mangrove"
5.17251735758111,"Big Joe Downer Cay"
12.4471772372944,"Scotland Cay"
3.34145425597827,"Little Joe Downer Cay"
2.79162224534068,"Grand Bahama"
2.6705628609971,"August Cay"
4.35600193726773,"Man o? War Cay"
3.11259157601276,"Water Cay"
3.03417267557941,"Grand Bahama.1"
2.5268212761308,"Grand Bahama.2"
2.17728418653662,"Grand Bahama.3"
4.3592200784537,"Grand Bahama.4"
2.26762341320307,"Sweetings Cay"
3.516167162899,"Jackson's Cay"
2.17494620313154,"Grand Bahama.5"
1.97603309500045,"Grand Bahama.6"
6.04514949192706,"The Bahamas"
27.3152069254501,"Guadeloupe"
17.3712494290846,"Marie Galante"
3.47175212681872,"Îlet à Fajou"
63.4398623846722,"Dominica"
43.6435638228326,"Saint Lucia"
3.15352045367117,"Hog Cay.1"
6.41577881952977,"Rum Cay Island"
2.42700904465857,"Crooked"
4.40756565233819,"Acklins.1"
11.5510785986905,"Barbados"
6.58706119225495,"Eleuthera"
8.00043964549019,"Current Island"
9.44197291851044,"Harbour Island"
6.50120509623327,"Russel Island"
6.34740276040263,"Cat"
56.0195484884546,"St Vincent"
41.5191228764217,"Grenada"
37.7295404265185,"Tobago"
3.72860661849668,"Mayaguana"
5.89208554711047,"Grand Turk"
20.6296424077896,"Antigua"
7.47409037799272,"Long Island"
4.01827298761413,"New Providence"
6.39271610832071,"Paradise Island"
24.8431809764858,"St. Croix"
4.73385680374086,"Great Exuma"
4.91969932760283,"Coakley Cay"
3.66498668027479,"Bowe Cay"
4.79739410203486,"Little Exuma"
4.91268641265792,"Jewfish Cay"
2.73124943071643,"Moriah Harbour Cay"
9.93451343606782,"Stocking Island"
3.45869216752883,"Green Turtle Cay.1"
3.80338582070051,"Great Exuma.1"
4.00746098070434,"Great Exuma.2"
7.22554403940837,"Great Exuma.3"
3.24610229432388,"North Caicos"
2.93533725096373,"Middle Caicos"
3.87417182950463,"Parrot Cay"
4.49514467936443,"North Caicos.1"
3.725494589118,"North Caicos.2"
4.57865220046611,"Grand Cayman"
3.52895704917876,"East Caicos"
4.0273828945951,"East Caicos.1"
23.079673142369,"Tortue"
3.51990204429839,"Barbuda"
3.65275429811628,"Barbuda.1"
39.6083743918527,"St Kitts"
5.55798104964742,"San Salvador"
18.1574925774073,"Viegues"
2.58765233006314,"Little Inagua"
54.0985237390372,"Montserrat"
46.6996284033663,"Ronde Island"
38.29021690881,"Petite Martinique"
33.9122088767147,"Carriacou Island"
49.1615598644178,"Terre-de-Bas"
15.8138893155895,"Terre de Bas"
40.2684289232111,"La Désirade"
28.7847383370428,"Nevis"
46.1384296114541,"Sint Eustatius"
93.2000227391867,"Saba Island"
45.4169925084147,"Île Saint-Barthélemy"
8.4270620482854,"Anguilla"
11.2966102397442,"Dog Island"
6.10629769306916,"Scrub Island"
5.28613030897751,"Little Cayman"
7.33314759797618,"Cayman Brac Island"
5.13166129016117,"Samana Cay"
4.0428878236606,"Cayo Blanco"
3.62140904766041,"Cayo Galindo"
3.7547907848873,"Cayo Cruz del Padre"
6.09090390796079,"Hog Cay.2"
4.44794677722792,"Cay Sal"
6.53651073677005,"Allen Cay"
14.0527729496321,"Lee Stocking Island"
14.6905238451496,"Norman?s Pond Cay"
7.3695341599615,"Bock Cay"
20.5579229674339,"Young Island"
5.31465857249288,"Conception Island"
8.77083961074763,"Darby Island"
35.4729394027387,"Rudder Cut Cay"
7.66006486083186,"Cave Cay"
8.23278239342783,"Big Farmer?s Cay"
6.43346294185571,"Green Cay"
8.98391662552613,"Great Guana Cay.1"
11.3891915991193,"Bitter Guana Cay"
8.23657310688258,"Staniel Cay"
10.2032209113911,"Big Major?s Spot"
3.99611381682255,"Spanish Wells"
21.9699883759022,"Sampson Cay"
7.48821218215813,"Pipe Cay"
6.95941184050147,"Compass Cay"
8.36123440744115,"Bell Island"
7.27355329965422,"Halls Pond Cay"
6.62008444454979,"Waderick Wells Cay"
5.59247185836059,"Hawksbill Cay"
3.04389164462827,"Shroud Cay"
3.90499102851396,"Shroud Cay.1"
7.60748272894584,"Little San Salvador"
9.09952592168536,"Norman?s Cay Island"
2.84036054580243,"Gold Cay"
15.8906507701634,"Highbourn Cay"
8.93607381694868,"Ship Channel Cay"
24.3450375806301,"Bird Cay"
5.1269196775242,"Frazer?s Hog Cay"
12.4012188596034,"Whale Cay"
7.21690139703466,"Bonds Cay"
9.48649230218948,"Royal Island"
9.45446558303021,"Little Harbour Cay"
7.38549723111569,"Hoffman Cay"
3.43996694626716,"Ambergris Cay"
5.3974505341885,"South Bimini Cay"
9.2422648024836,"North Bimini"
5.75129632523956,"Bamboo Cay"
12.4158224535786,"Great Stirrup Cay"
7.56550810457599,"Elbow Cay"
1.9367090224051,"Upper Sandy Harbour"
2.22856745315048,"Big Cross Cay.1"
3.25683075954942,"Cross Cays"
2.80854557098254,"Little Cave Cay"
4.61058334836132,"Allan Cay"
2.70980214937474,"Great Sale Cay"
2.64953538328409,"Old Yankee Land"
2.61328808093434,"Grand Cay"
66.2452812419747,"Little Tobago"
52.591614737703,"Union"
32.0300961040798,"Mayreau"
43.4084798822601,"Canouan"
32.1718143679456,"Mustique"
44.6534462212527,"Baliceaux"
60.8155130892992,"A Quatre"
54.3309056345039,"Bequia"
53.6563074050863,"Terre de Haut"
14.3305671811104,"Caja de Muertos"
6.10072565054909,"Mona"
35.5936322282288,"Saint Martin/Sint Maarten"
10.7370780855417,"Tintamarre"
40.8108232572967,"Cayo Luis Pena"
32.5921464298324,"de Culebra"
24.6938389648091,"Culebrita"
48.1136537233988,"Norman"
37.2140497556004,"Water"
46.6087022728804,"St. Thomas"
32.938666347782,"Cayo Norte"
53.3819809581172,"Peter"
57.6869740779169,"St. John"
71.5000454670674,"Desecheo"
50.8623392842033,"Cooper"
66.1325930750429,"Great Thatch"
54.0964829012291,"Ginger"
57.6429223166,"Hans Lollik"
19.7872174625835,"Navassa"
33.2787178747025,"Beef"
60.8337969199972,"Tortola"
98.5270132152898,"Jost Van Dyke"
60.8317920330865,"Guana"
51.6413841521778,"Great Camanoe"
47.3549949138667,"Virgin Gorda"
3.12198168408792,"Anegada"
2.47986538786637,"Little Ambergris Cay"
6.28426986411548,"Big Ambergris Cay"
4.52391400106071,"Salt Cay"
5.05393989441487,"Cotton Cay.1"
10.5352477368556,"Turks and Caicos"
5.42876879715604,"South Caicos"
3.99864108175046,"West Caicos"
5.1992217339083,"Mangrove Cay.1"
5.41257458775365,"Providenciales"
4.11049777952213,"Little Water & Pine Cay"
2.58946877551139,"Dellis Cay"
5.28612313057418,"Plana Cays"
6.96360555578779,"Plana Cays.1"
5.82525013250725,"Andros.33"
3.27517833049039,"Andros.34"
7.25595215584369,"Brigantine Cay"
3.33057971000671,"Andros.35"
3.621661214253,"Andros.36"
9.70418947685265,"Andros.37"
4.33397160671195,"Andros.38"
5.05930553666697,"Andros.39"
9.96716868275344,"Andros.40"
3.82334224983137,"Andros.41"
3.85550777424102,"Andros.42"
8.67934922051841,"Little Bells Cay"
24.109717774017,"Rose"
3.59719812812157,"Long Cay.2"
2.79532972588383,"Joulter Cays"
3.6882168853582,"Joulter Cays.1"
5.97281786992182,"Lynyard Cay"
2.10534148448851,"The Bahamas.1"
2.30339830705564,"Big Mangrove Cay"
2.41906166339325,"West End Cay"
5.69415515287481,"Strangers Cay"
