"name","mean_elev","median_elev","min_elev","max_elev"
"Pipe Cay",7.3728813559322,7,-4,43
"Compass Cay",8.03189493433396,7,-3,21
"Bell Island",9.55102040816327,9,-16,20
"Halls Pond Cay",8.66492146596859,9,-19,17
"Waderick Wells Cay",7.29900332225914,7,-7,15
"Hawksbill Cay",7.75978647686833,7.5,1,17
"Shroud Cay",4.76340694006309,5,1,11
"Shroud Cay.1",6.11935483870968,6,-4,13
"Little San Salvador",7.71340206185567,7,-28,25
"Norman?s Cay Island",7.49285714285714,7,-11,25
"Gold Cay",4.91688311688312,5,0,7
"Highbourn Cay",10.9771689497717,10,-36,57
"Ship Channel Cay",7.31921824104235,7,-14,21
"Bird Cay",5.43119266055046,6,-64,33
"Frazer?s Hog Cay",4.98742554599603,4,-12,15
"Whale Cay",8.26315789473684,7,-44,57
"Bonds Cay",10.2267135325132,10,1,22
"Royal Island",10.5212765957447,10,-1,21
"Little Harbour Cay",14.0936170212766,14,1,25
"Hoffman Cay",7.8936170212766,8,0,18
"Ambergris Cay",3.58653846153846,3,-1,9
"South Bimini Cay",9.76219888820259,10,-1,20
"North Bimini",7.43476318141197,8,-127,54
"Bamboo Cay",6.46597633136095,5,-12,77
"Great Stirrup Cay",8.60251046025105,8,-29,20
"Elbow Cay",9.14673242909988,8,0,26
"Upper Sandy Harbour",0.0980392156862745,0,-3,1
"Big Cross Cay.1",-0.371698113207547,0,-4,3
"Cross Cays",-0.326848249027237,0,-6,3
"Little Cave Cay",0.279891304347826,0,-3,5
"Allan Cay",3.02511415525114,3,-1,9
"Great Sale Cay",1.37641723356009,1,-11,8
"Old Yankee Land",1.1275,1,-6,5
"Grand Cay",0.83502538071066,1,-5,5
"Little Tobago",62.2594339622642,61,5,126
"Union",66.4404536862004,49,-3,272
"Mayreau",32.7629179331307,28,3,93
"Canouan",54.7607449856734,44,0,234
"Mustique",38.110243902439,31,-20,139
"Baliceaux",45.0995850622407,39,3,112
"A Quatre",43.984375,38,-6,127
"Bequia",85.8012337217272,78,-15,256
"Terre de Haut",53.1034077555817,35,0,282
"Caja de Muertos",13.5034722222222,9,-2,62
"Mona",49.3874559817265,56,-7,81
"Saint Martin/Sint Maarten",63.5001786565031,32,-6,415
"Tintamarre",13.2327586206897,11,2,35
"Cayo Luis Pena",39.8549019607843,30,1,139
"de Culebra",44.7140897511268,38,-5,190
"Culebrita",16.1414141414141,11,0,67
"Norman",39.43125,35,1,107
"Water",26.7124352331606,21,-14,83
"St. Thomas",101.372048687491,76,-10,461
"Cayo Norte",31.4034334763948,24,1,94
"Peter",52.8624849215923,44,0,148
"St. John",104.907305160331,80,-4,377
"Desecheo",71.1531531531532,65,1,185
"Cooper",42.0545454545455,30,-1,146
"Great Thatch",57.5369458128079,45,1,174
"Ginger",42.0309278350515,37.5,3,119
"Hans Lollik",76.1698113207547,64,3,209
"Navassa",55.5733482642777,63,6,85
"Beef",35.4386422976501,12,-17,205
"Tortola",140.622464035411,117,-3,522
"Jost Van Dyke",121.503184713376,109,-338,3318
"Guana",75.8729582577133,61,2,225
"Great Camanoe",62.7651757188498,58,2,158
"Virgin Gorda",91.9661178716297,53,-6,409
"Anegada",2.91788079470199,3,-28,11
"Little Ambergris Cay",2.36078098471986,2,-2,5
"Big Ambergris Cay",5.45403587443946,5,-5,22
"Salt Cay",5.93041438623925,6,-4,22
"Cotton Cay.1",5.64903846153846,6,-6,12
