"name","TRI","mean_elev","median_elev","min_elev","max_elev","Nearest_Dist","nearest_occ","richness","area","mean_csi","sd_csi","bp"
"Cayo Puerco",4.83026324478643,8.13839285714286,9,2,13,111869.59194756,242967.204033638,0,1166418.819,0.137092798948288,0,0
"Cayo Punta de los Machos",2.53656156573977,1.36190476190476,1,-1,5,3843.25825069028,27901.9829310018,0,2180669.979,0.14626906812191,0.00121972566377042,0
"Cayo Punta Iguna",5.48663307523411,2.39036544850498,2,-20,11,3275.73698700061,121309.082024462,0,3146435.171,0.146432250738144,0.00103991026673354,0
"Cayo Punta Tierra del Guzmán",3.26406584036978,3.67789473684211,4,0,8,5284.39455547563,107668.508181027,0,2449217.555,0.130256310105324,0.00185770664181468,0
"Cayo Quitasol",4.06168922755095,4.13963963963964,4,-1,14,3317.78356150586,34626.9800484667,0,1150024.949,0.127100564539433,0.00014014880801085,0
"Cayo Rabihorcado",5.73116577592135,7.3050193050193,7,0,14,5253.96777393354,39507.0545236255,0,1333691.043,0.142629414796829,0.000150822497396234,0
"Cayo Rancho de Cándido",3.98856909998826,3.62142857142857,3,-3,25,11417.3816473885,168518.258005646,0,4411583.972,0.124994879961014,0.0043424321115803,0
"Cayo Rapado Grande",6.62606690842841,9.33520336605891,9,-13,21,10281.8649416292,178745.77493445,0,3685191.925,0.139563361803691,0.00239463337869519,0
"Cayo Real",5.40595250407611,7.30340211935304,7,1,14,10668.7641115729,84213.1578478066,0,9318096.942,0,0,0
"Cayo Redondo",6.02590887909545,6.33270676691729,6,-3,18,7317.53777454972,41423.0956309096,0,2785964.819,0.127068536976973,0.00345565670128811,0
"Cayo Redondo.1",9.60576596321204,8.98534798534799,9,-11,45,3089.08274146861,156713.427070513,0,1380314.317,0.123584862798452,0.00125325234553963,0
"Cayo Rico",4.09048204208488,6.20597014925373,6,-20,11,14152.5862799843,122116.137702106,0,1754255.529,0,0,0
"Cayo Romano",3.886224992372,3.2815703074952,3,-124,126,9016.96389061045,64372.6581943309,0,778202926.9,0.138057152967195,0.00621352566609296,0
"Cayo Salinas",23.6228261967249,6.65506329113924,3,-23,289,4585.07548095914,81740.3701321968,0,1642385.982,0.127574816346169,0,0
"Cayo San Juan",4.02977871559518,5.44718714121699,6,-2,31,4498.66767595387,30820.0056483453,0,9053103.235,0.139748295148214,0.000157737835379436,0
"Cayo San Juan.1",4.62458545724243,6.29974160206718,7,0,11,4498.66767595387,33626.5474664571,0,2036133.966,0.141719058156013,0.00274919678151711,0
"Cayo Santa Maria",3.7682466996977,5.43553321678322,5,-23,24,4591.86681790267,61150.4239200983,0,23694337.32,0.12633852660656,0,0
"Cayo Sifonte",3.22891776011333,1.89701999245568,2,-6,18,5329.70906984099,131893.287928386,0,13804280.71,0.134034397701422,0.00328538778440492,0
"Cayo Tío Pepe",3.41982568471302,3.53460422710319,3,-10,12,4388.40374589851,75238.0953959326,0,12477783.69,0.126986488699913,0,0
"Cayo Traviesa",4.71048333383586,7.40182648401827,7,2,13,20157.1148400323,107096.536548239,0,1135004.893,0.126043888429801,0.00249948061946782,0
"Cayo Tumba la Olla",3.10935464781384,6.17023255813953,6,0,12,2994.10093259787,161243.24985847,0,5542436.56,0.127680018544197,0,0
"Cayos Aguardiente",5.81289829436998,6.90977443609023,7,-30,34,3171.21380860839,62021.1916102763,0,1384854.961,0.136329106986523,0.00201084917432924,0
"Cayos Aguardiente.1",5.61910113426355,6.71384615384615,7,1,45,3171.21380860839,65143.933756823,0,3356330.867,0.136452309787273,0.00208337055050015,0
"Cayos Blancos",4.59632078945637,4.88,4,-3,13,4016.25606328421,252952.274104669,0,2053338.323,0.139982245862484,0.00031501608248255,0
"Cayos Boca de Alonso",4.19468379721316,6.95548833189283,7,0,14,5550.06373973872,39033.3518902564,0,12113810.58,0.140948450991086,0.00364276567153546,0
"Cayos Cinco Balas",2.68051474358215,1.42213114754098,2,-7,4,2777.834255098,71293.6932787488,0,1287225.462,0.142489291727543,0.0113902174202055,0
"Cayos Cinco Balas.1",2.93920806631257,2.8379746835443,2,0,8,2777.834255098,69662.381255919,0,2071179.207,0.138568565249443,0.00584547286052143,0
"Cayos Cinco Balas.2",3.01050622273828,2.59345794392523,2,-1,7,4535.26375264048,71199.2001594972,0,1130461.537,0.142634958028793,0.000549889932521634,0
"Cayos Cinco Balas.3",2.67381272856929,2.41792717086835,2,-7,15,4110.66601845829,69486.0919407929,0,9376604.492,0.142246127128601,0,0
"Cayos de la Enfermeria",6.61833971501751,7.60227272727273,7,-19,21,3889.36165179587,161027.490184638,0,1818084.187,0.125874638557434,0,0
"Cayos de la Herradura",3.77331589965176,3,3,-1,23,4605.68778295484,74154.0383123322,0,2571273.184,0.134524937719107,0.00592338542970957,0
"Cayos de las Cinco Leguas",3.03693597453817,6.2312661498708,6,1,12,5956.83960220443,255801.825320548,0,8006332.164,0.136045388877392,4.3442864102604e-05,0
"Cayos de San Felipe",6.66388246168132,6.84424379232506,7,-54,21,8627.60456799099,73766.1296586219,0,2310849.835,0.146842151880264,0.00243280038974583,0
"Cayos Dromedarios",2.83445458874924,4.85337552742616,5,0,13,2994.10093259787,159456.60776451,0,9815479.181,0.128399167209864,0.000932045298006796,0
"Cayos Falcones",3.78096616009943,4.23826714801444,4,-5,11,5230.98712513822,229958.583487955,0,2848849.166,0.129622310400009,0.00142694477660908,0
"Cayos Jutias",3.91793481788001,5.32902033271719,5,-4,12,2293.47882770169,154588.172447162,0,2807947.644,0.130863785743713,0.00518176536359612,0
"Cayos los Cayuelos",8.3782087815166,8.78111587982833,9,0,14,10189.0681905584,33519.6146242606,0,1229357.13,0.140705943107605,0.00252472266634809,0
"Cayos Pajonal",2.60238736275988,0.839491916859122,1,-2,11,3836.11400480219,136341.866063292,0,4487010.744,0.124600785473982,0.00482591643254388,0
"Cayos Pingues",3.00833086513024,1.72099447513812,2,-4,6,3275.73698700061,119479.426090433,0,1914373.787,0.147167578339577,0,0
"Chacachacare",97.3512715678483,80.9519890260631,74,-548,469,6854.45422331497,57620.631569152,0,4028657.927,0.166770957410336,0.000166385221208882,0
"Coakley Cay",4.91969932760283,4.31772575250836,4,-7,12,4544.58423993229,19023.6330974545,0,1541031.437,0.135671600699425,0.00445513262184405,0
"Compass Cay",6.95941184050147,8.03189493433396,7,-3,21,2638.19943896417,92539.457343136,0,2729525.44,0.128111571073532,0,0
"Conception Island",5.31465857249288,3.67918858001503,3,-9,19,31429.5768525805,66976.564894414,0,6845071.73,0.159791853278875,0.0158415893528786,0
"Cooper",50.8623392842033,42.0545454545455,30,-1,146,7605.45623102008,8428.68170353381,0,1483777.013,0.170661464333534,0.0336956340547664,0
"Cotton Cay",9.53202680781879,11.4867256637168,11,-14,24,8630.3800727108,157052.586056952,0,1735666.783,0.151530489325523,0.0104041248680321,0
"Cotton Cay.1",5.05393989441487,5.64903846153846,6,-6,12,6516.14089272978,101687.883395691,0,1077680.337,0.182794347405434,0,0
"Crooked",2.42700904465857,2.89795918367347,3,0,7,2079.605698065,30146.7665524865,0,3045141.808,0.141107444961866,0.00229317770274021,0
"Crooked Island",4.34959683058601,5.12370417322674,4,-37,135,22072.6704416477,0,3,252842055.2,0.147560934935297,0.0139330213394374,0
"Cross Cays",3.25683075954942,-0.326848249027237,0,-6,3,1605.02114420648,48559.1164618087,0,1297990.575,0.175111025571823,0,0
"Cuba",11.4317957384119,104.406612138587,54,-1955,2140,19290.8916927163,0,34,1.05233e+11,0.148799694047426,0.0163760148403453,1
"Current Island",8.00043964549019,8.81126914660832,9,-94,114,17254.7706601117,56935.1430490466,0,9313730.837,0.125691786408424,0,0
