"Island","Distance_m"
"Water",25903.4925402764
"St. Thomas",22414.7987350057
"Peter",9532.48778853243
"St. John",12057.7012001934
"Cooper",13559.7478347664
"Hans Lollik",17919.873337891
"Navassa",244369.480174485
"Beef",10202.6237549298
"Guana",8354.95864447764
"Great Camanoe",11474.9813634618
"Little Ambergris Cay",269400.602432542
"Big Ambergris Cay",268988.848350629
"Salt Cay",269170.194111217
"South Caicos",291106.227344358
"West Caicos",331296.812519986
"Providenciales",337389.798213563
"Little Water & Pine Cay",340065.440808091
"Dellis Cay",343157.097747849
"Plana Cays",184329.623738611
"Plana Cays.1",188586.064630588
"Andros.33",131346.077982776
"Andros.34",129866.354573678
"Andros.36",125131.201199307
"Andros.37",134139.794750144
"Andros.38",130697.793447239
"Andros.39",128550.744421208
"Andros.42",131595.316656137
"Rose",49541.5824256406
"Joulter Cays",131367.842159813
"Joulter Cays.1",131937.932875397
"West End Cay",89564.2449739398
"Strangers Cay",119833.353727291
