"Island","Distance_m"
"Shroud Cay.1",75230.8473061023
"Little San Salvador",50991.9310001613
"Norman?s Cay Island",70077.6257373557
"Gold Cay",81270.4653268247
"Highbourn Cay",62858.9876026954
"Ship Channel Cay",56498.3011209331
"Bird Cay",58452.1336677102
"Frazer?s Hog Cay",63415.0037492256
"Whale Cay",56838.1550186669
"Bonds Cay",60848.8770552854
"Royal Island",69471.1920006765
"Little Harbour Cay",68678.0738061757
"Hoffman Cay",75028.4218171856
"South Bimini Cay",136480.71886763
"North Bimini",131354.144853732
"Bamboo Cay",91665.4958884387
"Great Stirrup Cay",101747.314614147
"Elbow Cay",142976.875509986
"Big Cross Cay.1",50160.7442472842
"Cross Cays",48559.1164618087
"Little Cave Cay",55571.3952422391
"Allan Cay",82043.3428754138
"Great Sale Cay",44769.7412944178
"Old Yankee Land",62137.0951606074
"Grand Cay",65782.2545342388
"Little Tobago",19155.0084435454
"Union",17890.6700274212
"Mayreau",11167.055292176
"Mustique",15763.4384771892
"Baliceaux",11936.75403291
"A Quatre",6598.34445148955
"Terre de Haut",116793.673885354
"Caja de Muertos",36959.988271389
"Saint Martin/Sint Maarten",17039.9433566878
"Tintamarre",13231.7001566091
"Cayo Luis Pena",23318.7108054045
"de Culebra",26738.1440681971
"Norman",4706.86742559562
"Water",3666.24123397198
"Cayo Norte",30816.1075940365
"Cooper",8428.68170353381
"Great Thatch",5313.10468957089
"Hans Lollik",6363.7225546275
"Navassa",244369.480174485
"Beef",10202.6237549298
"Jost Van Dyke",12057.7012001934
"Guana",8354.95864447764
"Great Camanoe",11474.9813634618
"Virgin Gorda",23849.0382235044
"Anegada",45575.768753956
"Little Ambergris Cay",70925.3113954763
"Big Ambergris Cay",73061.2284359692
"Salt Cay",99871.8831198986
"Cotton Cay.1",101687.883395691
"Turks and Caicos",62416.1268009765
"South Caicos",61799.9797802148
"West Caicos",24299.9318662655
"Mangrove Cay.1",13077.3067335029
"Little Water & Pine Cay",15182.0473999721
"Dellis Cay",11347.3801494485
"Plana Cays",42962.0774743916
"Plana Cays.1",53438.491076389
"Andros.33",63414.7211822307
"Andros.34",63327.272371569
"Brigantine Cay",29083.1929734656
"Andros.35",63556.1972956492
"Andros.36",57711.0781775831
"Andros.37",53767.9632486036
"Andros.38",54269.042676722
"Andros.39",53302.7267689255
"Andros.41",54497.8901785681
"Andros.42",51052.495248254
"Little Bells Cay",89510.7954656301
"Rose",20944.2448896057
"Joulter Cays",77783.7725128854
"Joulter Cays.1",79514.807673713
"Big Mangrove Cay",52576.6929341106
"West End Cay",58148.5321162717
"Strangers Cay",61814.3720564006
